Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
1741632532.1642933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1741632532.180304,-11118.271782192203,-817.2244807749369,-1695.111596001577,-3278.1738970487,-6827.273288640176,-6645.039516096058,3726.5051873332486,-570.2153527993385
1741632532.6577833,-11093.349587124538,-828.1768355580373,-1781.59049529916,-3366.552694624984,-6849.222701695288,-6665.89369367286,3676.9290181313777,-630.4756558508464
1741632532.6580172,-11160.628337935012,-813.5140911953558,-1782.7974894997467,-3401.4437677197184,-6890.059338815134,-6731.652525860372,3658.779401633669,-635.6612605644775
1741632532.6580343,-11149.430113962902,-779.4276809010125,-1738.9880703673448,-3353.0522409739783,-6874.591931652061,-6704.785729025094,3691.122375860498,-601.9101264369639
1741632532.6580577,-11017.89009784342,-775.8514017881635,-1775.0861376626656,-3353.18635144071,-6827.675620040372,-6624.744132130639,3693.1563846059303,-628.7769232722429
1741632532.6580734,-10932.215861346229,-784.7250443369204,-1880.876944169634,-3421.8509104074137,-6830.670753797383,-6604.471099909676,3642.663793881392,-686.7797001337648
1741632532.6580951,-10966.36932687394,-768.9894162403842,-1905.3968078371056,-3465.794440006547,-6842.852454525525,-6644.50307422913,3629.990354775233,-702.5600317192116
1741632532.65811,-11038.408999253394,-741.38501183808,-1831.233719734397,-3447.466009553196,-6848.708611572816,-6683.059833414535,3674.3362157745614,-666.2160952348823
1741632532.658132,-11035.7044381743,-744.2907386172699,-1801.304733908741,-3400.326180496953,-6848.909777272914,-6653.689641200262,3686.58497173607,-638.678746065944
1741632532.658147,-11059.062011130096,-767.2683319173256,-1837.4028012040617,-3438.0782768819663,-6885.656045157439,-6684.08801365948,3641.903834569912,-664.5173626562789
1741632532.6581683,-11179.82848642212,-785.6861693484985,-1819.9684405289224,-3448.091858397944,-6944.776409241726,-6757.848770361993,3618.0545232360982,-654.0120427622846
1741632532.6581838,-11278.7126038924,-776.4325471440014,-1742.139666335543,-3419.638087706338,-6976.627645090538,-6820.031323436657,3650.106924785009,-619.2774318787375
1741632532.6581986,-11243.396847653014,-784.4121199145461,-1696.5421076467169,-3361.300034677987,-6950.051420933178,-6785.453174764297,3680.72881468878,-597.842108946098
1741632532.658214,-11189.707957471366,-800.7959486002861,-1734.696535431926,-3372.677072605738,-6942.250662118276,-6770.522209468152,3659.9640440898,-628.8663302500642
1741632532.6582355,-11246.32492617666,-814.3411057402022,-1751.169771095487,-3398.739206640626,-6979.421613147451,-6808.877802953459,3627.174034973864,-638.8799117660418
1741632532.6582508,-11327.685275993976,-790.0671112617388,-1685.1874214634206,-3369.458421404174,-6994.866668566069,-6838.963250990302,3655.828971365568,-587.9179344079416
