Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
1741036720.525767,-1759.0822886326655,2241.276471767005,-7274.598750424237,-9622.202470565137,-9169.892569767544,704.5493369757339,-6155.536312524833,-5570.993491529643
1741036720.525781,-1756.3777275535738,2252.0723643389183,-7266.261549742407,-9616.078092584385,-9160.996575474332,707.9020986440299,-6156.944472425517,-5563.8632850484
1741036720.5257893,-1723.1630352929874,2299.12278641734,-7229.269412668874,-9601.99649357754,-9126.798406457712,734.3442123346582,-6141.789989684819,-5531.140331165831
1741036720.5257976,-1723.207738781898,2295.345341604393,-7241.227595952463,-9609.99841809254,-9136.81198797369,723.7047819739321,-6147.333222309736,-5543.836122016445
1741036720.5258052,-1760.9374834224564,2239.6000909328573,-7283.450041228538,-9626.494005500555,-9176.598093104136,692.5688019476893,-6169.439097576034,-5585.7903463590565
1741036720.525813,-1760.669262488993,2242.170541545217,-7271.313043989307,-9619.743778675054,-9172.395965146536,706.7174561878987,-6170.579036543255,-5573.273369464085
1741036720.525821,-1731.3884772525405,2281.822536208932,-7244.8485785542225,-9610.221935537093,-9139.941232197432,722.0060493953288,-6157.078582892249,-5546.943014495732
1741036720.5258286,-1728.4827504733505,2285.1976496216835,-7247.240215210941,-9620.5707932199,-9142.109351409596,718.6979912159433,-6155.446905547012,-5549.848741274923
1741036720.5258365,-1758.881122932568,2243.5339979569912,-7282.131288305675,-9635.926441660697,-9178.900322783033,697.1732613054826,-6172.702452266509,-5581.878791079377
1741036720.525844,-1766.5477712807383,2233.833340863388,-7288.479183730982,-9628.528014245989,-9180.844924550644,694.9157351154965,-6174.155315656104,-5584.717462625202
1741036720.5258524,-1733.5118929757946,2282.0684053979403,-7245.116799487687,-9607.986761091564,-9141.99759268732,721.5590145062226,-6154.865760191174,-5544.439619116738
1741036720.5258603,-1717.4186369679735,2303.3249143749376,-7230.319944658273,-9605.461013968112,-9127.647772747014,732.1984448669488,-6142.706411207487,-5530.581537554448
1741036720.5258734,-1747.9287681494675,2259.5601987314462,-7263.758154363412,-9624.616458966311,-9162.896473753031,706.9409736324518,-6158.710260237487,-5564.667947848791
1741036720.5258813,-1769.4534980599285,2230.6817448951897,-7286.355768007728,-9629.176214835194,-9180.77786931728,697.3967787500357,-6169.014414431384,-5580.850610834434
1741036720.5258887,-1742.854922158113,2269.931408158709,-7251.017660023887,-9613.977028605585,-9149.32896486866,721.8272354396863,-6157.816190459274,-5547.881787762855
1741036720.5258963,-1723.5430149487277,2293.31133285896,-7229.537633602337,-9609.216107036604,-9133.168653627474,730.4550087994348,-6147.869664176663,-5531.743828266123
1741036720.5259042,-1737.982241866856,2269.6855389697,-7250.436514668049,-9612.300647771435,-9148.8595782351,723.5483197627449,-6150.306004322291,-5548.19471218523
1741036720.5259166,-1767.1289166365764,2228.2230530051056,-7286.042843585354,-9624.750569433045,-9186.879895553577,697.7320549168653,-6173.685929022543,-5580.269465478596
1741036720.5259244,-1750.3427565506408,2258.1520388307617,-7262.975843307477,-9618.313267029916,-9161.130685941063,708.0809125996724,-6170.288463865336,-5561.1363722248525
1741036720.5259323,-1722.6712969149703,2296.820556738443,-7237.6289650951585,-9609.23845878106,-9133.079246649651,725.3811628080801,-6152.049440389806,-5536.214177157185
1741036720.5259402,-1736.4176197549846,2275.3628820613485,-7255.577415892771,-9621.107235086827,-9149.775999757769,712.4618545129126,-6155.804533458297,-5556.263691933596
1741036720.525948,-1758.6799572324703,2239.7789048885,-7279.605541182225,-9625.041142110962,-9172.8653517801,703.8340811531641,-6159.850199204708,-5576.112041009908
1741036720.525957,-1747.6828989604592,2262.264759810538,-7260.964186306499,-9616.94981061814,-9157.487351594847,717.4686452709014,-6161.057193405294,-5558.00712800111
1741036720.5259657,-1721.7548753923031,2302.319085874449,-7237.584261606248,-9607.025636079985,-9130.41938905947,728.6892209874655,-6148.964899654973,-5535.722438779168
1741036720.525977,-1731.7684569082803,2286.7846234780104,-7256.739706604446,-9623.074188598894,-9148.703116023911,710.8972324010412,-6162.130077139149,-5558.342404167939
1741036720.5259843,-1757.8082391987134,2243.355184001349,-7286.400471496639,-9632.5736799924,-9183.258912951816,694.289886270748,-6175.809344745797,-5586.639712648358
1741036720.5259924,-1754.366070552596,2253.7487451730663,-7276.319834747295,-9625.443473511155,-9176.48633438186,704.2587642978149,-6177.128097668659,-5574.949750298232
1741036720.526,-1725.7334859053476,2295.568859048946,-7241.138188974642,-9612.881793127275,-9140.611784531093,724.6659069855103,-6161.817152716774,-5543.791418527534
1741036720.5260077,-1722.693648659426,2299.9050974732754,-7238.634793595647,-9612.65827568272,-9135.359124584094,728.8233314541974,-6153.725821223953,-5541.489188848637
1741036720.5260153,-1754.880160675068,2251.468867238625,-7277.213904525507,-9627.05279911194,-9174.608787847614,707.3433050326473,-6170.89196096563,-5577.520200910592
1741036720.526023,-1762.9714921678892,2244.249253779561,-7280.387852238161,-9626.248136311548,-9178.363880916106,705.2645927983037,-6177.731594768953,-5579.15187825583
1741036720.5260303,-1732.304898775208,2287.209306622661,-7244.28978494284,-9613.57469720539,-9144.970374699877,720.3073168167253,-6164.633472518143,-5547.702973807213
1741036720.526038,-1717.7762648792584,2302.4531963411805,-7235.304383671807,-9610.065473325903,-9135.493235050826,727.0798953866835,-6154.776353213353,-5539.768104525579
1741036720.5260456,-1748.241692571842,2257.7720591750217,-7269.994291066443,-9631.925479403197,-9171.8148197907,707.6562294550216,-6167.65095801961,-5573.094555508442
1741036720.5260532,-1762.9714921678892,2240.6059194333457,-7285.037015084865,-9632.95365964814,-9184.667072852502,698.0449793392396,-6177.485725579944,-5584.225724247185
1741036720.5260713,-1730.7626284077917,2289.3327223459155,-7249.453037912016,-9620.079054841884,-9150.424200346972,720.642592983555,-6163.024146917361,-5549.491113363638
1741036720.526079,-1715.2952212447192,2307.8399667549097,-7232.868043526179,-9613.731159416577,-9136.074380406664,728.4880552873678,-6155.089277635727,-5540.706877792702
1741036720.5260863,-1739.435105256451,2270.669015725734,-7262.998195051932,-9619.408502508224,-9160.683651051955,713.0877033576612,-6162.755925983897,-5566.567846127492
1741036720.5260944,-1759.0822886326655,2243.2210735346166,-7283.874724373189,-9619.050874596938,-9186.29875019774,704.1470055755384,-6182.380757615657,-5579.48715442266
1741036720.526102,-1738.9880703673448,2275.295826827982,-7259.19839849453,-9620.794310664452,-9162.136514441552,716.2392993258595,-6175.9434552125285,-5556.129581466864
1741036720.5261176,-1714.2446892553198,2307.214117910161,-7231.571642347771,-9617.195679807148,-9129.480615792349,733.5395495342672,-6137.297289049303,-5527.407589841794
1741036720.5261252,-1734.2942040317305,2276.279303584016,-7256.091506015242,-9629.176214835194,-9153.978127715363,718.3627150491137,-6147.601443243199,-5554.00616574361
1741036720.5261333,-1759.462268288406,2239.376573488304,-7284.522924962393,-9632.90895615923,-9181.314311184206,703.8787846420747,-6166.533370796844,-5580.582389900969
1741036720.5261428,-1739.7927331677358,2270.959588403653,-7262.037070040354,-9624.19177582166,-9160.6612993075,716.7310377038763,-6164.342899840224,-5557.135409967353
1741036720.5261505,-1711.3836659650406,2306.431806854225,-7234.611479593692,-9613.641752438754,-9134.465054805882,730.4773605438901,-6149.702507221998,-5533.219043400174
1741036720.526158,-1725.3311545051522,2284.2588763545605,-7257.879645571666,-9632.976011392597,-9159.387249873547,714.9876016363623,-6163.001795172906,-5553.33561340995
1741036720.5261655,-1750.655680973015,2245.25508228005,-7284.5899801957585,-9631.120816602805,-9183.683596096467,704.2587642978149,-6171.361347599191,-5576.380261943372
1741036720.5261729,-1737.3116895331968,2267.204495335161,-7261.500628173427,-9620.5707932199,-9164.326985398173,719.5026540163343,-6168.097992908716,-5555.101401221919
1741036720.5261805,-1714.177634021954,2300.687408529211,-7238.09835172872,-9615.653409439732,-9141.259985120296,728.4210000540019,-6161.07954514975,-5533.822540500467
1741036720.526188,-1721.576061436661,2290.0032746795746,-7253.789276336346,-9627.05279911194,-9154.738087026846,717.289831315259,-6168.343862097724,-5549.2228924301735
1741036720.526196,-1748.5546169942163,2247.602015447857,-7283.20417203953,-9639.43566554018,-9184.82353506369,702.8282526526752,-6177.776298257863,-5578.257808477618
1741036720.5262034,-1745.7382971928475,2255.715698685133,-7273.592921923748,-9633.91478465972,-9176.48633438186,710.2713835562926,-6175.876399979163,-5568.601854872925
1741036720.5262113,-1716.9939538233227,2297.960495705664,-7244.24508145393,-9622.113063587316,-9144.746857255324,723.4589127849237,-6162.420649817068,-5541.109209192898
1741036720.526219,-1716.144587534021,2297.2228881386386,-7240.869968041178,-9623.364761276813,-9149.03839219074,724.3976860520465,-6167.852123719707,-5544.663136561291
1741036720.5262263,-1748.9569483944117,2250.7759631605104,-7284.299407517839,-9643.883662686783,-9185.136459486062,700.1236915735831,-6179.676196536565,-5578.973064300188
1741036720.5262372,-1750.1192391060877,2252.027660850008,-7283.003006339432,-9632.685438714676,-9177.425107648982,702.3141625302032,-6169.394394087123,-5573.407479930816
1741036720.526245,-1726.7840178947472,2287.276361856027,-7259.265453727896,-9629.109159601829,-9154.201645159916,712.1936335794489,-6166.913350452584,-5554.095572721431
1741036720.5262527,-1715.9434218339231,2301.0897399294067,-7249.028354767365,-9625.398770022246,-9144.56804329968,716.0157818813065,-6158.978481170951,-5547.837084273945
1741036720.5262604,-1740.7315064348588,2263.762326689044,-7284.522924962393,-9637.021677139006,-9174.63113959207,699.5872497066557,-6170.959016198995,-5579.241285233651
1741036720.5262678,-1752.8014484407245,2246.886759625287,-7297.598695468748,-9640.329735318392,-9187.841020565154,694.2451827818373,-6179.117402925182,-5587.422023704294
1741036720.5262752,-1725.4205614829734,2288.7739287345325,-7248.29074720034,-9619.497909486045,-9145.931499711454,719.3461918051472,-6156.8103619587855,-5547.501808107115
1741036720.5262828,-1705.4157501954735,2314.277269158038,-7230.901090014111,-9611.943019860151,-9124.80910120119,730.9243954329962,-6138.7278006944425,-5530.737999765635
1741036720.5262904,-1734.1600935649983,2270.8031261924657,-7264.562817163804,-9627.321020045403,-9164.282281909262,704.9069648870188,-6167.025109174861,-5570.747622340635
1741036720.5263028,-1757.6741287319817,2238.214282776628,-7293.262457044418,-9637.4240085392,-9187.081061253675,690.5571449467117,-6176.278731379358,-5592.339407484461
1741036720.5263104,-1733.6236516980712,2275.586399505901,-7264.763982863901,-9621.062531597916,-9153.844017248632,709.1984998224378,-6159.090239893227,-5560.868151291389
1741036720.5263202,-1711.0707415426662,2303.9954667085967,-7243.038087253343,-9616.636886195764,-9133.794502472225,723.6824302294767,-6153.3458415682135,-5541.869168504378
1741036720.526328,-1723.3865527375403,2282.828364709421,-7255.063325770298,-9623.76709267701,-9150.223034646871,717.7368662043651,-6156.586844514232,-5556.800133800523
1741036720.5263357,-1752.0861926181549,2242.952852601153,-7286.333416263273,-9633.244232326058,-9181.582532117667,702.0906450856502,-6171.383699343646,-5583.890448080355
1741036720.526343,-1738.7645529227916,2267.6291784798123,-7264.048727041331,-9618.6708949412,-9157.554406828214,712.4842062573679,-6165.326376596257,-5561.829276302967
1741036720.5263505,-1706.175709506954,2311.1927284232056,-7229.738799302435,-9599.448394709634,-9123.110368622583,731.2149681109153,-6144.002812385895,-5529.978040454154
1741036720.526358,-1719.0950178021214,2290.539716546502,-7254.325718203273,-9621.554269975932,-9148.703116023911,712.0371713682617,-6159.447867804512,-5553.469723876682
1741036720.5263731,-1748.152285594021,2246.931463114198,-7286.53458196337,-9630.025581124495,-9181.96251177341,694.9827903488625,-6171.584865043744,-5581.789384101557
1741036720.5263808,-1740.9773756238671,2262.6447394662787,-7271.938892834055,-9623.185947321172,-9164.908130754013,704.6610956980105,-6169.439097576034,-5567.081936249964
1741036720.5263884,-1711.1825002649427,2303.257859141572,-7238.455979640005,-9610.132528559272,-9135.157958883996,723.9059476740298,-6152.74234446792,-5537.152950424308
1741036720.526396,-1716.3234014896634,2293.579553792424,-7247.016697766388,-9617.441548996158,-9147.183197400953,719.8155784387086,-6158.576149770755,-5547.345345895928
1741036720.5264034,-1755.7742304532803,2238.2813380099938,-7291.340207021261,-9636.86521492782,-9188.936256043466,691.5629734472005,-6181.4643360929895,-5588.696073138246
1741036720.5264113,-1753.9637391524004,2245.322137513416,-7281.326625505284,-9625.644639211254,-9175.14522971454,696.9944473498401,-6171.607216788199,-5577.609607888414
1741036720.5264187,-1717.8656718570796,2295.5912107934014,-7244.24508145393,-9607.316208757902,-9132.8557292051,726.1634738640158,-6149.613100244177,-5540.326898136962
1741036720.5264263,-1713.6411921550266,2297.468757327647,-7232.063380725787,-9609.394920992248,-9130.70996173739,732.578424522689,-6143.399315285602,-5536.370639368372
1741036720.526434,-1751.9073786625122,2240.784733388988,-7279.672596415591,-9631.165520091716,-9178.095659982642,697.419130494491,-6170.22140863197,-5582.728157368679
1741036720.526441,-1756.176561853476,2239.9130153552314,-7283.114765061709,-9632.19370033666,-9185.270569952794,703.1411770750495,-6182.693682038032,-5580.358872456417
1741036720.5264487,-1721.687820158937,2291.523193302535,-7244.468598898483,-9613.798214649942,-9138.7565897413,728.0857238871722,-6151.848274689708,-5537.711744035691
1741036720.5264564,-1708.6120496525823,2305.560088820468,-7234.298555171318,-9612.211240793617,-9125.926688423957,727.7280959758873,-6137.476103004945,-5531.743828266123
1741036720.5264635,-1739.144532578532,2258.330852786404,-7276.319834747295,-9627.14220608976,-9169.087906967152,700.5707264626892,-6166.8462952192185,-5575.240322976151
1741036720.5264711,-1754.5448845082385,2237.051992064952,-7287.830983141778,-9631.009057880528,-9186.9693025314,693.8428513816418,-6179.184458158548,-5584.873924836389
1741036720.5264788,-1730.3826487520516,2273.7982599494767,-7266.976805564976,-9629.936174146673,-9154.402810860016,705.5551654762228,-6162.778277728353,-5558.498866379126
1741036720.5264933,-1710.4448926979176,2298.6086962948675,-7250.257700712407,-9622.604801965334,-9137.460188562893,713.1994620799378,-6148.920196166062,-5542.271499904573
1741036720.5265007,-1732.8413406421353,2262.6447394662787,-7264.696927630535,-9630.606726480331,-9165.869255765589,704.5046334868233,-6160.8560277051965,-5563.438601903749
1741036720.5265088,-1750.29805306173,2238.1025240543518,-7277.124497547687,-9626.650467711745,-9181.24725595084,703.610563708611,-6164.521713795867,-5574.212142731207
1741036720.5265164,-1736.81995115518,2263.762326689044,-7266.015680553399,-9627.321020045403,-9162.695308052937,706.963325376907,-6165.572245785266,-5561.158723969308
1741036720.526524,-1712.3000874877082,2296.7087980161664,-7241.652279097114,-9614.222897794592,-9135.984973428844,715.9487266479405,-6147.757905454387,-5539.902214992311
1741036720.5265317,-1727.1192940615767,2272.1218791153287,-7268.161448021108,-9627.388075278768,-9157.822627761678,700.6377816960552,-6157.212693358982,-5562.499828636626
1741036720.526539,-1748.82283792768,2240.427105477703,-7276.565703936304,-9619.654371697232,-9177.827439049175,699.386084006558,-6165.281673107347,-5578.011939288609
1741036720.5265465,-1727.6110324395936,2275.83226869491,-7248.983651278455,-9605.28220001247,-9150.178331157962,719.0332673827729,-6154.128152624149,-5549.088781963442
1741036720.526554,-1710.8025206092025,2302.9672864636527,-7233.67270632657,-9609.104348314328,-9132.721618738367,726.9457849199516,-6143.533425752334,-5531.520310821571
1741036720.5265615,-1724.839416127135,2282.6271990093232,-7257.119686260186,-9626.136377589271,-9152.279395136762,706.2704212987926,-6157.16798987007,-5555.235511688651
1741036720.5265691,-1753.5167042632943,2236.15792228674,-7288.054500586331,-9632.506624759037,-9188.10924149862,690.355979246614,-6175.205847645503,-5586.080919036976
1741036720.5265765,-1744.3301372921633,2252.2958817834715,-7270.10604978872,-9621.6213252093,-9169.646700578536,703.7223224308875,-6172.188362144037,-5568.423040917282
1741036720.526584,-1715.4293317114511,2295.5465073044907,-7238.992421506932,-9613.306476271926,-9141.684668264948,722.8330639401751,-6158.442039304023,-5539.432828358749
1741036720.5265918,-1723.0065730818003,2284.2141728656497,-7245.921462288077,-9620.503737986532,-9149.23955789084,714.6523254695327,-6158.93377768204,-5550.1616656972965
1741036720.5265992,-1751.0803641176658,2241.1647130447286,-7275.53752369136,-9626.873985156297,-9173.960587258409,703.6329154530663,-6161.5042282944005,-5574.234494475662
1741036720.5266068,-1739.3904017675402,2260.0742888539185,-7255.979747292966,-9603.851688367333,-9150.67006953598,724.643555241055,-6146.640318231621,-5551.346308153428
1741036720.5266144,-1719.72086664687,2291.88082121382,-7234.209148193497,-9601.750624388533,-9131.76049372679,731.706706488932,-6144.516902508367,-5530.112150920886
1741036720.5266223,-1720.6819916584484,2290.3609025908595,-7241.652279097114,-9615.005208850527,-9138.309554852194,722.5871947511667,-6151.31183282278,-5538.695220791724
1741036720.52663,-1747.5040850048167,2248.987823604086,-7271.514209689404,-9618.6708949412,-9171.680709323968,703.0517700972283,-6168.7238417534645,-5571.373471185383
1741036720.5266376,-1753.3602420521072,2240.985899089086,-7271.827134111779,-9625.421121766702,-9177.380404160072,706.0692555986948,-6169.774373742864,-5571.261712463107
1741036720.526645,-1719.8326253691466,2289.8468124683877,-7235.729066816458,-9609.14905180324,-9133.123950138564,730.5667675217113,-6139.510111750378,-5533.397857355816
1741036720.5266616,-1713.3506194771076,2294.965361948653,-7234.43266563805,-9611.965371604609,-9130.508796037291,727.4598750424236,-6141.208844328981,-5532.973174211165
1741036720.5266693,-1736.3952680105292,2259.046108608974,-7263.57934040777,-9625.465825255613,-9160.683651051955,710.4054940230244,-6152.563530512278,-5562.76804957009
